Name,Level,Category,Description
HTML/CSS (Flexbox/Grid),Lv.1 基礎,言語・Web標準,セマンティックなマークアップ、レスポンシブデザイン
JavaScript (ES6+, Async/Await),Lv.1 基礎,言語・Web標準,ES6+の構文、非同期処理の理解
TypeScript基礎 (型/Interface),Lv.1 基礎,言語・Web標準,基本的な型定義、コンパイルエラーの解消
Git操作,Lv.1 基礎,言語・Web標準,コミット、プッシュ、ブランチ操作
ブラウザの仕組み (DOM/Event),Lv.1 基礎,言語・Web標準,DOM操作、イベント伝播の理解
コンポーネント分割,Lv.2 応用,React実践,再利用可能な単位でのコンポーネント分割
Hooks (useState/useEffect),Lv.2 応用,React実践,基本的なフックの理解と活用
API通信 (Fetch/Axios),Lv.2 応用,React実践,バックエンドとのデータ連携
ルーティング (React Router),Lv.2 応用,React実践,SPAにおけるページ遷移
フォームハンドリング,Lv.2 応用,React実践,ユーザー入力の管理とバリデーション
テスト (Jest/RTL/Playwright),Lv.3 発展,品質・設計,単体テスト、統合テスト、E2Eテストの実装
状態管理 (Redux/Zustand/Context),Lv.3 発展,品質・設計,複雑なアプリケーションの状態管理
カスタムフック設計,Lv.3 発展,品質・設計,ロジックの切り出しと再利用
アクセシビリティ (a11y),Lv.3 発展,品質・設計,WAI-ARIA、キーボード操作対応
CI/CDパイプライン,Lv.3 発展,品質・設計,自動テスト、自動デプロイの設定
パフォーマンス最適化,Lv.4 エキスパート,アーキテクチャ・パフォーマンス,レンダリング最適化、バンドルサイズ削減
マイクロフロントエンド,Lv.4 エキスパート,アーキテクチャ・パフォーマンス,大規模アプリの分割と統合
高度な型パズル,Lv.4 エキスパート,アーキテクチャ・パフォーマンス,条件付き型、Utility Typesの活用
OSS貢献/ライブラリ作成,Lv.4 エキスパート,アーキテクチャ・パフォーマンス,エコシステムへの貢献、共通基盤の作成
